Year,Value,State,Age
2020,63.6,California,35 to 44
2018,49.2,California,35 to 44
2016,54.6,California,35 to 44
2014,30.5,California,35 to 44
2012,57.6,California,35 to 44
2010,55.6,California,35 to 44
2020,69.4,California,45 to 64
2018,56.9,California,45 to 64
2016,62.1,California,45 to 64
2014,45.5,California,45 to 64
2012,62.9,California,45 to 64
2010,61.8,California,45 to 64
2020,71.4,California,65+
2018,63.8,California,65+
2016,69.2,California,65+
2014,56.9,California,65+
2012,67.7,California,65+
2010,66.6,California,65+
2020,67.6,Colorado,Total
2018,58.1,Colorado,Total
2016,69.5,Colorado,Total
2014,59.3,Colorado,Total
2012,70.4,Colorado,Total
2010,52.6,Colorado,Total
2020,53.3,Colorado,18 to 24
2018,41.1,Colorado,18 to 24
2016,49,Colorado,18 to 24
2014,18.4,Colorado,18 to 24
2012,56.1,Colorado,18 to 24
2010,23.8,Colorado,18 to 24
2020,64.6,Colorado,25 to 34
2018,48.8,Colorado,25 to 34
2016,62.9,Colorado,25 to 34
2014,46.3,Colorado,25 to 34
2012,60.3,Colorado,25 to 34
2010,44.8,Colorado,25 to 34
2020,66.7,Colorado,35 to 44
2018,56.6,Colorado,35 to 44
2016,75.3,Colorado,35 to 44
2014,58.6,Colorado,35 to 44
2012,73.4,Colorado,35 to 44
2010,60.9,Colorado,35 to 44
2020,70.8,Colorado,45 to 64
2018,60.8,Colorado,45 to 64
2016,69.7,Colorado,45 to 64
2014,68.4,Colorado,45 to 64
2012,76.9,Colorado,45 to 64
2010,71.1,Colorado,45 to 64
2020,74.7,Colorado,65+
2018,72.7,Colorado,65+
2016,81.1,Colorado,65+
2014,78.5,Colorado,65+
2012,74.8,Colorado,65+
2010,77.3,Colorado,65+
2020,66.6,Connecticut,Total
2018,54,Connecticut,Total
2016,63.9,Connecticut,Total
2014,46.7,Connecticut,Total
2012,62.7,Connecticut,Total
2010,49.3,Connecticut,Total
2020,51.9,Connecticut,18 to 24
2018,35.1,Connecticut,18 to 24
2016,43.3,Connecticut,18 to 24
2014,20.1,Connecticut,18 to 24
2012,39.8,Connecticut,18 to 24
2010,21.8,Connecticut,18 to 24
2020,60.5,Connecticut,25 to 34
2018,36.7,Connecticut,25 to 34
2016,57.5,Connecticut,25 to 34
2014,30.5,Connecticut,25 to 34
2012,53.5,Connecticut,25 to 34
2010,39.1,Connecticut,25 to 34
2020,62.2,Connecticut,35 to 44
2018,54.9,Connecticut,35 to 44
2016,60.1,Connecticut,35 to 44
2014,38.3,Connecticut,35 to 44
2012,58.3,Connecticut,35 to 44
2010,61.6,Connecticut,35 to 44
2020,70,Connecticut,45 to 64
2018,58.8,Connecticut,45 to 64
2016,67.4,Connecticut,45 to 64
2014,56.1,Connecticut,45 to 64
2012,70,Connecticut,45 to 64
2010,63.7,Connecticut,45 to 64
2020,74.7,Connecticut,65+
2018,67.5,Connecticut,65+
2016,73.6,Connecticut,65+
2014,61.7,Connecticut,65+
2012,72.2,Connecticut,65+
2010,54.9,Connecticut,65+
2020,67.7,Delaware,Total
2018,51.8,Delaware,Total
2016,62.3,Delaware,Total
2014,45.2,Delaware,Total
2012,67.3,Delaware,Total
2010,51,Delaware,Total
2020,53.6,Delaware,18 to 24
2018,*,Delaware,18 to 24
2016,*,Delaware,18 to 24
2014,*,Delaware,18 to 24
2012,43.4,Delaware,18 to 24
2010,25.4,Delaware,18 to 24
2020,56.2,Delaware,25 to 34
2018,37.5,Delaware,25 to 34
2016,*,Delaware,25 to 34
2014,30.3,Delaware,25 to 34
2012,57.4,Delaware,25 to 34
2010,43.7,Delaware,25 to 34
2020,69.7,Delaware,35 to 44
2018,47.4,Delaware,35 to 44
2016,61.1,Delaware,35 to 44
2014,36.6,Delaware,35 to 44
2012,66.4,Delaware,35 to 44
2010,60.2,Delaware,35 to 44
2020,68.6,Delaware,45 to 64
2018,59.1,Delaware,45 to 64
2016,66.8,Delaware,45 to 64
2014,52.1,Delaware,45 to 64
2012,72.3,Delaware,45 to 64
2010,63.1,Delaware,45 to 64
2020,77.8,Delaware,65+
2018,61.9,Delaware,65+
2016,70.5,Delaware,65+
2014,63.7,Delaware,65+
2012,78.1,Delaware,65+
2010,57.4,Delaware,65+
2020,84,District Of Columbia,Total
2018,61.1,District Of Columbia,Total
2016,74.3,District Of Columbia,Total
2014,51.4,District Of Columbia,Total
2012,75.9,District Of Columbia,Total
2010,45.3,District Of Columbia,Total
2020,*,District Of Columbia,18 to 24
2018,*,District Of Columbia,18 to 24
2016,*,District Of Columbia,18 to 24
2014,*,District Of Columbia,18 to 24
2012,61.4,District Of Columbia,18 to 24
2010,30.1,District Of Columbia,18 to 24
2020,85.9,District Of Columbia,25 to 34
2018,59.5,District Of Columbia,25 to 34
2016,73.3,District Of Columbia,25 to 34
2014,43.4,District Of Columbia,25 to 34
