Year,Value,State,Age
2012,77.8,Massachusetts,65+
2010,60.4,Massachusetts,65+
2020,66.9,Michigan,Total
2018,59.5,Michigan,Total
2016,64.3,Michigan,Total
2014,47.1,Michigan,Total
2012,66.8,Michigan,Total
2010,47.3,Michigan,Total
2020,52.9,Michigan,18 to 24
2018,33.9,Michigan,18 to 24
2016,37.8,Michigan,18 to 24
2014,18.6,Michigan,18 to 24
2012,44,Michigan,18 to 24
2010,21.8,Michigan,18 to 24
2020,61.8,Michigan,25 to 34
2018,47.2,Michigan,25 to 34
2016,54.1,Michigan,25 to 34
2014,32.7,Michigan,25 to 34
2012,56.9,Michigan,25 to 34
2010,39.4,Michigan,25 to 34
2020,62.6,Michigan,35 to 44
2018,58.1,Michigan,35 to 44
2016,64.2,Michigan,35 to 44
2014,45.8,Michigan,35 to 44
2012,67.6,Michigan,35 to 44
2010,55.1,Michigan,35 to 44
2020,70.6,Michigan,45 to 64
2018,64.8,Michigan,45 to 64
2016,71.6,Michigan,45 to 64
2014,51.4,Michigan,45 to 64
2012,73,Michigan,45 to 64
2010,65.7,Michigan,45 to 64
2020,75,Michigan,65+
2018,74.1,Michigan,65+
2016,74.4,Michigan,65+
2014,67.3,Michigan,65+
2012,76.7,Michigan,65+
2010,62.3,Michigan,65+
2020,77.9,Minnesota,Total
2018,63,Minnesota,Total
2016,68.7,Minnesota,Total
2014,52,Minnesota,Total
2012,73.2,Minnesota,Total
2010,54.9,Minnesota,Total
2020,69.2,Minnesota,18 to 24
2018,42.7,Minnesota,18 to 24
2016,54.7,Minnesota,18 to 24
2014,21.6,Minnesota,18 to 24
2012,59.4,Minnesota,18 to 24
2010,27.9,Minnesota,18 to 24
2020,70,Minnesota,25 to 34
2018,47.4,Minnesota,25 to 34
2016,64.5,Minnesota,25 to 34
2014,38.1,Minnesota,25 to 34
2012,64.4,Minnesota,25 to 34
2010,48.2,Minnesota,25 to 34
2020,74.9,Minnesota,35 to 44
2018,64.2,Minnesota,35 to 44
2016,70.1,Minnesota,35 to 44
2014,48.9,Minnesota,35 to 44
2012,72.6,Minnesota,35 to 44
2010,63.1,Minnesota,35 to 44
2020,82.2,Minnesota,45 to 64
2018,67.1,Minnesota,45 to 64
2016,72.6,Minnesota,45 to 64
2014,59.7,Minnesota,45 to 64
2012,77.9,Minnesota,45 to 64
2010,74,Minnesota,45 to 64
2020,84.3,Minnesota,65+
2018,78.7,Minnesota,65+
2016,72.6,Minnesota,65+
2014,72.5,Minnesota,65+
2012,81.6,Minnesota,65+
2010,65,Minnesota,65+
2020,70.3,Mississippi,Total
2018,54.2,Mississippi,Total
2016,67.7,Mississippi,Total
2014,42.3,Mississippi,Total
2012,74.5,Mississippi,Total
2010,47.1,Mississippi,Total
2020,42.3,Mississippi,18 to 24
2018,26.7,Mississippi,18 to 24
2016,46.7,Mississippi,18 to 24
2014,26.5,Mississippi,18 to 24
2012,63.8,Mississippi,18 to 24
2010,28.1,Mississippi,18 to 24
2020,68.3,Mississippi,25 to 34
2018,37.6,Mississippi,25 to 34
2016,58.9,Mississippi,25 to 34
2014,24.5,Mississippi,25 to 34
2012,71.3,Mississippi,25 to 34
2010,39.1,Mississippi,25 to 34
2020,70.4,Mississippi,35 to 44
2018,53.1,Mississippi,35 to 44
2016,68.4,Mississippi,35 to 44
2014,36.8,Mississippi,35 to 44
2012,71.8,Mississippi,35 to 44
2010,54.9,Mississippi,35 to 44
2020,77.7,Mississippi,45 to 64
2018,65.4,Mississippi,45 to 64
2016,73.5,Mississippi,45 to 64
2014,51.2,Mississippi,45 to 64
2012,77.4,Mississippi,45 to 64
2010,61.7,Mississippi,45 to 64
2020,75.2,Mississippi,65+
2018,65.8,Mississippi,65+
2016,77.7,Mississippi,65+
2014,57.9,Mississippi,65+
2012,82.2,Mississippi,65+
2010,61,Mississippi,65+
2020,66.8,Missouri,Total
2018,55,Missouri,Total
2016,64.8,Missouri,Total
2014,38.7,Missouri,Total
2012,63.9,Missouri,Total
2010,45.7,Missouri,Total
2020,55.5,Missouri,18 to 24
2018,41.4,Missouri,18 to 24
2016,48,Missouri,18 to 24
2014,14.6,Missouri,18 to 24
2012,42.9,Missouri,18 to 24
2010,20.2,Missouri,18 to 24
2020,60,Missouri,25 to 34
2018,48.1,Missouri,25 to 34
2016,55.1,Missouri,25 to 34
2014,27.6,Missouri,25 to 34
2012,55.4,Missouri,25 to 34
2010,35.7,Missouri,25 to 34
2020,53.9,Missouri,35 to 44
2018,50.9,Missouri,35 to 44
2016,60.4,Missouri,35 to 44
2014,39.2,Missouri,35 to 44
2012,65.6,Missouri,35 to 44
2010,57.7,Missouri,35 to 44
2020,72.9,Missouri,45 to 64
2018,57.4,Missouri,45 to 64
2016,70.1,Missouri,45 to 64
2014,43.3,Missouri,45 to 64
2012,69.8,Missouri,45 to 64
2010,59.2,Missouri,45 to 64
2020,77.4,Missouri,65+
2018,65.6,Missouri,65+
2016,75.8,Missouri,65+
2014,50.7,Missouri,65+
2012,73.1,Missouri,65+
2010,54.7,Missouri,65+
2020,73.5,Montana,Total
2018,63.8,Montana,Total
2016,65.9,Montana,Total
2014,50.1,Montana,Total
2012,65.7,Montana,Total
2010,51.9,Montana,Total
2020,57.6,Montana,18 to 24
2018,38.9,Montana,18 to 24
2016,*,Montana,18 to 24
2014,21.1,Montana,18 to 24
2012,41.9,Montana,18 to 24
2010,20.9,Montana,18 to 24
2020,66.1,Montana,25 to 34
2018,49.2,Montana,25 to 34
2016,50.7,Montana,25 to 34
2014,31.6,Montana,25 to 34
2012,47.7,Montana,25 to 34
2010,41.6,Montana,25 to 34
2020,75.9,Montana,35 to 44
2018,61.3,Montana,35 to 44
2016,67.8,Montana,35 to 44
2014,52.8,Montana,35 to 44
2012,59.2,Montana,35 to 44
2010,58,Montana,35 to 44
2020,76.9,Montana,45 to 64
2018,70.3,Montana,45 to 64
2016,73,Montana,45 to 64
2014,57.2,Montana,45 to 64
2012,75.6,Montana,45 to 64
2010,78,Montana,45 to 64
2020,80,Montana,65+
2018,77.1,Montana,65+
2016,78.1,Montana,65+
2014,68.2,Montana,65+
2012,79.4,Montana,65+
2010,73,Montana,65+
2020,65.2,Nebraska,Total
2018,50.8,Nebraska,Total
2016,66.8,Nebraska,Total
2014,44.3,Nebraska,Total
2012,61.6,Nebraska,Total
2010,41.3,Nebraska,Total
2020,42.3,Nebraska,18 to 24
2018,32,Nebraska,18 to 24
2016,52.9,Nebraska,18 to 24
2014,15.5,Nebraska,18 to 24
2012,40.3,Nebraska,18 to 24
2010,10.7,Nebraska,18 to 24
2020,59.8,Nebraska,25 to 34
2018,41.7,Nebraska,25 to 34
2016,54.8,Nebraska,25 to 34
2014,28.8,Nebraska,25 to 34
2012,49,Nebraska,25 to 34
2010,29.9,Nebraska,25 to 34
2020,63.3,Nebraska,35 to 44
2018,45,Nebraska,35 to 44
2016,68.7,Nebraska,35 to 44
2014,41.3,Nebraska,35 to 44
2012,58.7,Nebraska,35 to 44
2010,51.6,Nebraska,35 to 44
2020,68.2,Nebraska,45 to 64
2018,55.5,Nebraska,45 to 64
2016,69.8,Nebraska,45 to 64
2014,53.1,Nebraska,45 to 64
2012,67.4,Nebraska,45 to 64
2010,61.2,Nebraska,45 to 64
2020,76,Nebraska,65+
2018,66,Nebraska,65+
2016,79.5,Nebraska,65+
2014,63.4,Nebraska,65+
2012,77.2,Nebraska,65+
2010,64.1,Nebraska,65+
2020,61.5,Nevada,Total
2018,48.7,Nevada,Total
2016,60.5,Nevada,Total
2014,37.3,Nevada,Total
2012,57.9,Nevada,Total
2010,42.4,Nevada,Total
2020,36.7,Nevada,18 to 24
2018,32.4,Nevada,18 to 24
2016,42.9,Nevada,18 to 24
2014,18.1,Nevada,18 to 24
2012,41.4,Nevada,18 to 24
2010,25.2,Nevada,18 to 24
2020,57,Nevada,25 to 34
2018,30.9,Nevada,25 to 34
2016,50.6,Nevada,25 to 34
2014,26.8,Nevada,25 to 34
2012,51,Nevada,25 to 34
2010,32.5,Nevada,25 to 34
2020,56.7,Nevada,35 to 44
2018,43.7,Nevada,35 to 44
2016,60.9,Nevada,35 to 44
2014,29.3,Nevada,35 to 44
2012,58.9,Nevada,35 to 44
2010,51,Nevada,35 to 44
2020,65.5,Nevada,45 to 64
2018,54.2,Nevada,45 to 64
2016,63.5,Nevada,45 to 64
2014,41,Nevada,45 to 64
2012,61.9,Nevada,45 to 64
2010,56.8,Nevada,45 to 64
2020,76,Nevada,65+
2018,67.4,Nevada,65+
2016,74,Nevada,65+
2014,59,Nevada,65+
2012,70.4,Nevada,65+
2010,53.7,Nevada,65+
2020,74,New Hampshire,Total
2018,56.2,New Hampshire,Total
2016,69,New Hampshire,Total
2014,50.2,New Hampshire,Total
2012,69.4,New Hampshire,Total
2010,46.9,New Hampshire,Total
2020,62.3,New Hampshire,18 to 24
2018,37.1,New Hampshire,18 to 24
2016,*,New Hampshire,18 to 24
2014,19,New Hampshire,18 to 24
2012,51.9,New Hampshire,18 to 24
2010,19.9,New Hampshire,18 to 24
2020,66.7,New Hampshire,25 to 34
2018,44,New Hampshire,25 to 34
2016,59.8,New Hampshire,25 to 34
2014,26.6,New Hampshire,25 to 34
2012,61.7,New Hampshire,25 to 34
2010,36.9,New Hampshire,25 to 34
2020,72.4,New Hampshire,35 to 44
2018,48.4,New Hampshire,35 to 44
2016,66.3,New Hampshire,35 to 44
2014,49.5,New Hampshire,35 to 44
2012,62.8,New Hampshire,35 to 44
2010,55.4,New Hampshire,35 to 44
2020,74.2,New Hampshire,45 to 64
2018,62.1,New Hampshire,45 to 64
2016,74.2,New Hampshire,45 to 64
2014,58.2,New Hampshire,45 to 64
2012,75.4,New Hampshire,45 to 64
2010,68.6,New Hampshire,45 to 64
2020,84.2,New Hampshire,65+
2018,68,New Hampshire,65+
2016,73.2,New Hampshire,65+
2014,69.7,New Hampshire,65+
2012,79.6,New Hampshire,65+
2010,60.3,New Hampshire,65+
2020,78.3,New Jersey,Total
2018,54,New Jersey,Total
2016,61.5,New Jersey,Total
2014,36.4,New Jersey,Total
2012,61.9,New Jersey,Total
2010,41.7,New Jersey,Total
2020,75.3,New Jersey,18 to 24
2018,32.1,New Jersey,18 to 24
2016,40.7,New Jersey,18 to 24
2014,14.3,New Jersey,18 to 24
2012,39.1,New Jersey,18 to 24
2010,16.7,New Jersey,18 to 24
2020,69.9,New Jersey,25 to 34
2018,42.2,New Jersey,25 to 34
2016,52.3,New Jersey,25 to 34
2014,18.3,New Jersey,25 to 34
2012,56.4,New Jersey,25 to 34
2010,32.5,New Jersey,25 to 34
2020,76.8,New Jersey,35 to 44
2018,62,New Jersey,35 to 44
2016,64.3,New Jersey,35 to 44
2014,30.5,New Jersey,35 to 44
2012,57.1,New Jersey,35 to 44
2010,48.5,New Jersey,35 to 44
2020,80.6,New Jersey,45 to 64
2018,59.6,New Jersey,45 to 64
2016,67,New Jersey,45 to 64
2014,44.2,New Jersey,45 to 64
2012,69.7,New Jersey,45 to 64
2010,55.8,New Jersey,45 to 64
2020,82.6,New Jersey,65+
2018,60.3,New Jersey,65+
2016,68,New Jersey,65+
2014,51.5,New Jersey,65+
2012,68.4,New Jersey,65+
2010,59.2,New Jersey,65+
2020,62.6,New Mexico,Total
2018,48.1,New Mexico,Total
2016,54.8,New Mexico,Total
2014,45.6,New Mexico,Total
2012,61.6,New Mexico,Total
2010,42.5,New Mexico,Total
2020,42.9,New Mexico,18 to 24
2018,28,New Mexico,18 to 24
2016,40.9,New Mexico,18 to 24
2014,12.3,New Mexico,18 to 24
2012,40.2,New Mexico,18 to 24
2010,13.5,New Mexico,18 to 24
2020,53.1,New Mexico,25 to 34
2018,37.2,New Mexico,25 to 34
2016,39.5,New Mexico,25 to 34
2014,26.1,New Mexico,25 to 34
2012,52.5,New Mexico,25 to 34
2010,30.6,New Mexico,25 to 34
2020,57.3,New Mexico,35 to 44
2018,37,New Mexico,35 to 44
2016,51.2,New Mexico,35 to 44
2014,40.8,New Mexico,35 to 44
2012,54.9,New Mexico,35 to 44
2010,57.5,New Mexico,35 to 44
2020,68.7,New Mexico,45 to 64
2018,53.7,New Mexico,45 to 64
2016,56.6,New Mexico,45 to 64
2014,56.2,New Mexico,45 to 64
2012,70.8,New Mexico,45 to 64
2010,56.7,New Mexico,45 to 64
2020,74.9,New Mexico,65+
2018,66.5,New Mexico,65+
2016,74.7,New Mexico,65+
2014,66.7,New Mexico,65+
2012,70.6,New Mexico,65+
2010,53.2,New Mexico,65+
2020,64.7,New York,Total
2018,49.5,New York,Total
2016,57.2,New York,Total
2014,34.4,New York,Total
2012,58.7,New York,Total
2010,43.6,New York,Total
2020,47.8,New York,18 to 24
2018,33.3,New York,18 to 24
2016,38.2,New York,18 to 24
2014,14.9,New York,18 to 24
2012,39.6,New York,18 to 24
2010,21.6,New York,18 to 24
2020,63.2,New York,25 to 34
2018,38.6,New York,25 to 34
2016,51,New York,25 to 34
2014,20.8,New York,25 to 34
2012,52.7,New York,25 to 34
2010,34.2,New York,25 to 34
2020,66.5,New York,35 to 44
2018,50.1,New York,35 to 44
2016,55.1,New York,35 to 44
2014,30.9,New York,35 to 44
2012,60.5,New York,35 to 44
2010,54.2,New York,35 to 44
2020,68,New York,45 to 64
2018,52.8,New York,45 to 64
2016,63.4,New York,45 to 64
2014,40.8,New York,45 to 64
2012,64.7,New York,45 to 64
2010,57.6,New York,45 to 64
2020,67.9,New York,65+
2018,60.6,New York,65+
2016,64.5,New York,65+
2014,49.9,New York,65+
2012,64.6,New York,65+
2010,54.1,New York,65+
2020,64.7,North Carolina,Total
2018,52.4,North Carolina,Total
2016,67.5,North Carolina,Total
2014,46.2,North Carolina,Total
2012,68.9,North Carolina,Total
2010,45.4,North Carolina,Total
2020,49.3,North Carolina,18 to 24
2018,31.6,North Carolina,18 to 24
2016,50.7,North Carolina,18 to 24
2014,23.4,North Carolina,18 to 24
2012,50,North Carolina,18 to 24
2010,21.4,North Carolina,18 to 24
2020,56,North Carolina,25 to 34
2018,38.2,North Carolina,25 to 34
2016,60,North Carolina,25 to 34
2014,33.5,North Carolina,25 to 34
2012,66.2,North Carolina,25 to 34
2010,37.4,North Carolina,25 to 34
2020,59.6,North Carolina,35 to 44
2018,49.1,North Carolina,35 to 44
2016,65.2,North Carolina,35 to 44
2014,43.2,North Carolina,35 to 44
2012,67.6,North Carolina,35 to 44
2010,53,North Carolina,35 to 44
2020,71.1,North Carolina,45 to 64
2018,59.1,North Carolina,45 to 64
2016,73.1,North Carolina,45 to 64
2014,51.5,North Carolina,45 to 64
2012,72.1,North Carolina,45 to 64
2010,65.7,North Carolina,45 to 64
2020,71.9,North Carolina,65+
2018,66.1,North Carolina,65+
2016,74.7,North Carolina,65+
2014,64.7,North Carolina,65+
2012,77.3,North Carolina,65+
2010,58.5,North Carolina,65+
2020,67.1,North Dakota,Total
2018,61.9,North Dakota,Total
2016,64.2,North Dakota,Total
2014,51,North Dakota,Total
2012,63.9,North Dakota,Total
2010,55.7,North Dakota,Total
2020,*,North Dakota,18 to 24
2018,*,North Dakota,18 to 24
2016,*,North Dakota,18 to 24
2014,26.7,North Dakota,18 to 24
2012,48.9,North Dakota,18 to 24
2010,37.6,North Dakota,18 to 24
2020,59.9,North Dakota,25 to 34
2018,53.2,North Dakota,25 to 34
2016,60,North Dakota,25 to 34
2014,39.4,North Dakota,25 to 34
2012,58.6,North Dakota,25 to 34
2010,42.3,North Dakota,25 to 34
2020,67.9,North Dakota,35 to 44
2018,61.1,North Dakota,35 to 44
2016,*,North Dakota,35 to 44
2014,42.8,North Dakota,35 to 44
2012,64,North Dakota,35 to 44
2010,65.3,North Dakota,35 to 44
2020,74.6,North Dakota,45 to 64
2018,69.1,North Dakota,45 to 64
2016,70.3,North Dakota,45 to 64
2014,59,North Dakota,45 to 64
2012,68.2,North Dakota,45 to 64
2010,75.1,North Dakota,45 to 64
2020,74.2,North Dakota,65+
2018,76.4,North Dakota,65+
2016,*,North Dakota,65+
2014,74.8,North Dakota,65+
2012,72.3,North Dakota,65+
2010,74.9,North Dakota,65+
2020,70.1,Ohio,Total
2018,52.5,Ohio,Total
2016,63.6,Ohio,Total
2014,39.7,Ohio,Total
2012,63.1,Ohio,Total
2010,45.2,Ohio,Total
2020,53,Ohio,18 to 24
2018,22.5,Ohio,18 to 24
2016,40.1,Ohio,18 to 24
2014,12.6,Ohio,18 to 24
2012,46.3,Ohio,18 to 24
2010,20.7,Ohio,18 to 24
2020,61.3,Ohio,25 to 34
2018,42.9,Ohio,25 to 34
2016,56.3,Ohio,25 to 34
2014,28.7,Ohio,25 to 34
2012,57.1,Ohio,25 to 34
2010,36,Ohio,25 to 34
2020,67.4,Ohio,35 to 44
2018,53.4,Ohio,35 to 44
2016,62.3,Ohio,35 to 44
2014,38.2,Ohio,35 to 44
2012,60.6,Ohio,35 to 44
2010,54.3,Ohio,35 to 44
2020,74.1,Ohio,45 to 64
2018,57.5,Ohio,45 to 64
2016,69.1,Ohio,45 to 64
2014,43.7,Ohio,45 to 64
2012,67.9,Ohio,45 to 64
2010,63.4,Ohio,45 to 64
2020,81.3,Ohio,65+
2018,67.1,Ohio,65+
2016,74,Ohio,65+
2014,56.7,Ohio,65+
2012,72,Ohio,65+
2010,55.9,Ohio,65+
2020,58.3,Oklahoma,Total
2018,49.4,Oklahoma,Total
2016,56.6,Oklahoma,Total
2014,34.2,Oklahoma,Total
2012,52.4,Oklahoma,Total
2010,40.4,Oklahoma,Total
2020,30.5,Oklahoma,18 to 24
2018,22.6,Oklahoma,18 to 24
2016,33.7,Oklahoma,18 to 24
2014,11.8,Oklahoma,18 to 24
2012,27.3,Oklahoma,18 to 24
2010,18.7,Oklahoma,18 to 24
2020,49.2,Oklahoma,25 to 34
2018,40.5,Oklahoma,25 to 34
2016,48,Oklahoma,25 to 34
2014,20.9,Oklahoma,25 to 34
2012,34.1,Oklahoma,25 to 34
2010,30.7,Oklahoma,25 to 34
2020,51.5,Oklahoma,35 to 44
2018,43.1,Oklahoma,35 to 44
2016,52.5,Oklahoma,35 to 44
2014,29.7,Oklahoma,35 to 44
2012,50.8,Oklahoma,35 to 44
2010,46.4,Oklahoma,35 to 44
2020,68.1,Oklahoma,45 to 64
2018,55.4,Oklahoma,45 to 64
2016,62,Oklahoma,45 to 64
2014,39.9,Oklahoma,45 to 64
2012,61.4,Oklahoma,45 to 64
2010,59.8,Oklahoma,45 to 64
2020,70.3,Oklahoma,65+
2018,64.7,Oklahoma,65+
2016,70.7,Oklahoma,65+
2014,53.8,Oklahoma,65+
2012,73,Oklahoma,65+
2010,62.8,Oklahoma,65+
2020,74.1,Oregon,Total
2018,61.1,Oregon,Total
2016,66.3,Oregon,Total
2014,55.5,Oregon,Total
2012,67.6,Oregon,Total
2010,56.3,Oregon,Total
2020,56.1,Oregon,18 to 24
2018,38.8,Oregon,18 to 24
2016,48.8,Oregon,18 to 24
2014,24.9,Oregon,18 to 24
2012,51.1,Oregon,18 to 24
2010,32.9,Oregon,18 to 24
2020,69.2,Oregon,25 to 34
2018,57.1,Oregon,25 to 34
2016,54.6,Oregon,25 to 34
2014,50.2,Oregon,25 to 34
2012,53.9,Oregon,25 to 34
2010,48,Oregon,25 to 34
2020,77.5,Oregon,35 to 44
2018,52.5,Oregon,35 to 44
2016,72.3,Oregon,35 to 44
2014,54.4,Oregon,35 to 44
2012,61.8,Oregon,35 to 44
2010,64.4,Oregon,35 to 44
2020,77.4,Oregon,45 to 64
2018,68.1,Oregon,45 to 64
2016,69.5,Oregon,45 to 64
2014,61.8,Oregon,45 to 64
2012,73.7,Oregon,45 to 64
2010,68.4,Oregon,45 to 64
2020,79.5,Oregon,65+
2018,70.6,Oregon,65+
2016,74.7,Oregon,65+
2014,68.5,Oregon,65+
2012,81.3,Oregon,65+
2010,71.2,Oregon,65+
2020,70.2,Pennsylvania,Total
2018,54.6,Pennsylvania,Total
2016,62.6,Pennsylvania,Total
2014,40,Pennsylvania,Total
2012,61.6,Pennsylvania,Total
2010,43.9,Pennsylvania,Total
2020,51,Pennsylvania,18 to 24
2018,33,Pennsylvania,18 to 24
2016,51.4,Pennsylvania,18 to 24
2014,10.9,Pennsylvania,18 to 24
2012,42.1,Pennsylvania,18 to 24
2010,15.5,Pennsylvania,18 to 24
2020,69,Pennsylvania,25 to 34
2018,41.4,Pennsylvania,25 to 34
2016,54.9,Pennsylvania,25 to 34
2014,28,Pennsylvania,25 to 34
2012,54.8,Pennsylvania,25 to 34
2010,37.3,Pennsylvania,25 to 34
2020,67.6,Pennsylvania,35 to 44
2018,53.2,Pennsylvania,35 to 44
2016,64.1,Pennsylvania,35 to 44
2014,36.8,Pennsylvania,35 to 44
2012,64.4,Pennsylvania,35 to 44
2010,50.9,Pennsylvania,35 to 44
2020,74.1,Pennsylvania,45 to 64
2018,61.8,Pennsylvania,45 to 64
2016,67.8,Pennsylvania,45 to 64
2014,46.3,Pennsylvania,45 to 64
2012,65.7,Pennsylvania,45 to 64
2010,59.5,Pennsylvania,45 to 64
2020,75.4,Pennsylvania,65+
2018,63.9,Pennsylvania,65+
2016,64.8,Pennsylvania,65+
2014,55.3,Pennsylvania,65+
2012,68.9,Pennsylvania,65+
2010,55.4,Pennsylvania,65+
2020,66.3,Rhode Island,Total
2018,51.6,Rhode Island,Total
2016,60.6,Rhode Island,Total
2014,43.3,Rhode Island,Total
2012,62.5,Rhode Island,Total
2010,46.7,Rhode Island,Total
2020,51.6,Rhode Island,18 to 24
2018,41.8,Rhode Island,18 to 24
2016,*,Rhode Island,18 to 24
2014,13.7,Rhode Island,18 to 24
2012,50.3,Rhode Island,18 to 24
2010,18.7,Rhode Island,18 to 24
2020,59.5,Rhode Island,25 to 34
2018,33.1,Rhode Island,25 to 34
2016,53.6,Rhode Island,25 to 34
2014,21,Rhode Island,25 to 34
2012,53.3,Rhode Island,25 to 34
2010,40,Rhode Island,25 to 34
2020,63.9,Rhode Island,35 to 44
2018,46.9,Rhode Island,35 to 44
2016,62.2,Rhode Island,35 to 44
2014,41.7,Rhode Island,35 to 44
2012,59.9,Rhode Island,35 to 44
2010,56.2,Rhode Island,35 to 44
2020,69.9,Rhode Island,45 to 64
2018,59.7,Rhode Island,45 to 64
2016,64.2,Rhode Island,45 to 64
2014,57.4,Rhode Island,45 to 64
2012,68.3,Rhode Island,45 to 64
2010,63.7,Rhode Island,45 to 64
2020,76.1,Rhode Island,65+
2018,61.6,Rhode Island,65+
2016,64.4,Rhode Island,65+
2014,55.7,Rhode Island,65+
2012,67.7,Rhode Island,65+
2010,58.9,Rhode Island,65+
2020,63.4,South Carolina,Total
2018,48.7,South Carolina,Total
2016,62.1,South Carolina,Total
2014,42.4,South Carolina,Total
2012,64.7,South Carolina,Total
2010,50.9,South Carolina,Total
2020,53.4,South Carolina,18 to 24
2018,24.1,South Carolina,18 to 24
2016,43.9,South Carolina,18 to 24
2014,19.5,South Carolina,18 to 24
2012,54,South Carolina,18 to 24
2010,33.5,South Carolina,18 to 24
2020,49,South Carolina,25 to 34
2018,31.7,South Carolina,25 to 34
2016,49.3,South Carolina,25 to 34
2014,26.4,South Carolina,25 to 34
2012,61.6,South Carolina,25 to 34
2010,46.7,South Carolina,25 to 34
2020,60.1,South Carolina,35 to 44
2018,53.1,South Carolina,35 to 44
2016,58.9,South Carolina,35 to 44
2014,37.6,South Carolina,35 to 44
2012,61.1,South Carolina,35 to 44
2010,57.9,South Carolina,35 to 44
2020,68.8,South Carolina,45 to 64
2018,52.5,South Carolina,45 to 64
2016,67.1,South Carolina,45 to 64
2014,54.3,South Carolina,45 to 64
2012,67.2,South Carolina,45 to 64
2010,56.8,South Carolina,45 to 64
2020,72.4,South Carolina,65+
2018,64.2,South Carolina,65+
2016,73.1,South Carolina,65+
2014,52.8,South Carolina,65+
2012,73.2,South Carolina,65+
2010,54.1,South Carolina,65+
2020,58.5,South Dakota,Total
2018,51.9,South Dakota,Total
2016,59.1,South Dakota,Total
2014,44.1,South Dakota,Total
2012,61,South Dakota,Total
2010,54.9,South Dakota,Total
2020,43.9,South Dakota,18 to 24
2018,26.3,South Dakota,18 to 24
2016,*,South Dakota,18 to 24
2014,*,South Dakota,18 to 24
2012,32.9,South Dakota,18 to 24
2010,23.4,South Dakota,18 to 24
2020,45.2,South Dakota,25 to 34
2018,31.3,South Dakota,25 to 34
2016,*,South Dakota,25 to 34
2014,26,South Dakota,25 to 34
2012,45.6,South Dakota,25 to 34
2010,47.8,South Dakota,25 to 34
2020,52.9,South Dakota,35 to 44
2018,43.4,South Dakota,35 to 44
2016,*,South Dakota,35 to 44
2014,48.7,South Dakota,35 to 44
2012,66.3,South Dakota,35 to 44
2010,63.5,South Dakota,35 to 44
2020,66,South Dakota,45 to 64
2018,67.3,South Dakota,45 to 64
2016,65.4,South Dakota,45 to 64
2014,53,South Dakota,45 to 64
2012,71.5,South Dakota,45 to 64
2010,73.1,South Dakota,45 to 64
2020,69.5,South Dakota,65+
2018,66.4,South Dakota,65+
2016,73.9,South Dakota,65+
2014,61.4,South Dakota,65+
2012,73.7,South Dakota,65+
2010,69.9,South Dakota,65+
2020,66.4,Tennessee,Total
2018,49.6,Tennessee,Total
2016,54,Tennessee,Total
2014,36.6,Tennessee,Total
2012,55.7,Tennessee,Total
2010,37.7,Tennessee,Total
2020,49.1,Tennessee,18 to 24
2018,31.1,Tennessee,18 to 24
2016,31.1,Tennessee,18 to 24
2014,11.9,Tennessee,18 to 24
2012,35.2,Tennessee,18 to 24
2010,15.6,Tennessee,18 to 24
2020,56.3,Tennessee,25 to 34
2018,40.5,Tennessee,25 to 34
2016,42,Tennessee,25 to 34
2014,18.5,Tennessee,25 to 34
2012,51,Tennessee,25 to 34
2010,27.7,Tennessee,25 to 34
2020,66.3,Tennessee,35 to 44
2018,49.5,Tennessee,35 to 44
2016,55.5,Tennessee,35 to 44
2014,38.8,Tennessee,35 to 44
2012,54.3,Tennessee,35 to 44
2010,44.8,Tennessee,35 to 44
2020,73.4,Tennessee,45 to 64
2018,54,Tennessee,45 to 64
2016,60.2,Tennessee,45 to 64
2014,43.6,Tennessee,45 to 64
2012,57.9,Tennessee,45 to 64
2010,63.3,Tennessee,45 to 64
2020,72.2,Tennessee,65+
2018,59.5,Tennessee,65+
2016,64.2,Tennessee,65+
2014,53.7,Tennessee,65+
2012,68.9,Tennessee,65+
2010,44.6,Tennessee,65+
2020,63.9,Texas,Total
2018,48.4,Texas,Total
2016,55.4,Texas,Total
2014,34.6,Texas,Total
2012,53.8,Texas,Total
2010,36.4,Texas,Total
2020,43.3,Texas,18 to 24
2018,27,Texas,18 to 24
2016,31.9,Texas,18 to 24
2014,12.1,Texas,18 to 24
2012,25.4,Texas,18 to 24
2010,16.1,Texas,18 to 24
2020,54.8,Texas,25 to 34
2018,36.8,Texas,25 to 34
2016,46.5,Texas,25 to 34
2014,21.9,Texas,25 to 34
2012,41.4,Texas,25 to 34
2010,26.6,Texas,25 to 34
2020,63.5,Texas,35 to 44
2018,45.5,Texas,35 to 44
2016,53.7,Texas,35 to 44
2014,29.7,Texas,35 to 44
2012,53.6,Texas,35 to 44
2010,46.3,Texas,35 to 44
2020,70.2,Texas,45 to 64
2018,56.7,Texas,45 to 64
2016,62.3,Texas,45 to 64
2014,43.6,Texas,45 to 64
2012,62.6,Texas,45 to 64
2010,58.1,Texas,45 to 64
2020,76.3,Texas,65+
2018,65.5,Texas,65+
2016,69,Texas,65+
2014,54.5,Texas,65+
2012,73.8,Texas,65+
2010,52.8,Texas,65+
2020,63.6,Utah,Total
2018,57.6,Utah,Total
2016,62.7,Utah,Total
2014,36.5,Utah,Total
2012,57,Utah,Total
2010,38.6,Utah,Total
2020,50.1,Utah,18 to 24
2018,35.1,Utah,18 to 24
