State,2020,2018,2016,2014,2012,2010,2008,2006,2004,2002,2000,1998,1996,1994,1992,1990,1988,1986,1984,1982,1980,1978
North Carolina,64.7,52.4,67.5,46.2,68.9,45.4,67.5,40.3,61.4,44.7,56.1,40.4,55.5,36.4,62.6,51.0,54.9,46.1,57.9,39.7,54.3,32.3
North Dakota,67.1,61.9,64.2,51.0,63.9,55.7,67.5,54.4,71.5,57.5,70.4,57.5,66.1,61.6,72.8,61.6,74.6,74.1,72.9,65.3,74.1,60.9
Ohio,70.1,52.5,63.6,39.7,63.1,45.2,65.5,53.0,66.1,43.6,59.2,45.4,59.6,47.0,69.1,50.9,64.3,50.8,64.7,52.2,63.8,47.2
Oklahoma,58.3,49.4,56.6,34.2,52.4,40.4,58.7,46.2,62.3,49.0,59.7,40.7,59.2,47.5,70.5,51.6,57.5,50.2,62.6,47.8,62.9,52.6
Oregon,74.1,61.1,66.3,55.5,67.6,56.3,67.6,59.7,74.0,55.5,66.6,50.5,63.6,65.0,73.9,57.8,66.1,66.4,71.1,65.6,71.9,56.3
Pennsylvania,70.2,54.6,62.6,40.0,61.6,43.9,62.4,47.6,64.5,43.2,57.4,40.3,56.4,43.7,62.1,44.1,56.9,47.7,61.5,50.1,57.9,50.4
Rhode Island ,66.3,51.6,60.6,43.3,62.5,46.7,67.4,58.8,63.7,50.6,63.5,52.7,64.3,54.5,75.1,60.8,68.2,52.9,69.5,58.6,71.1,60.9
South Carolina,63.4,48.7,62.1,42.4,64.7,50.9,65.6,45.2,63.2,46.6,59.5,47.5,54.7,45.9,59.3,43.9,50.5,42.4,50.4,38.2,52.6,36.8
South Dakota,58.5,51.9,59.1,44.1,61.0,54.9,67.8,63.0,68.3,66.1,59.2,50.9,64.8,64.2,71.8,59.5,73.3,66.3,70.1,63.8,77.0,63.7
Tennessee,66.4,49.6,54.0,36.6,55.7,37.7,55.5,45.4,54.6,46.5,53.7,36.5,53.6,43.5,56.8,30.9,52.4,44.9,59.3,47.9,58.2,45.2
Texas,63.9,48.4,55.4,34.6,53.8,36.4,56.1,38.4,57.1,40.7,54.1,37.0,51.5,42.4,62.3,45.7,59.2,41.3,59.4,42.6,55.9,37.0
Utah ,63.6,57.6,62.7,36.5,57.0,38.6,53.1,36.7,67.8,43.8,60.2,42.1,55.5,46.5,75.8,48.8,72.9,51.4,74.1,63.2,74.5,55.2
Vermont,68.4,54.9,62.5,42.5,63.3,55.0,64.7,56.9,67.3,53.0,64.2,52.8,60.4,49.6,73.4,57.6,66.3,60.2,64.5,53.2,63.9,39.0
Virginia,71.5,57.5,68.2,41.7,66.9,40.7,68.7,47.5,63.1,37.2,60.3,31.3,58.4,48.4,64.3,39.9,60.5,39.1,59.7,47.3,57.6,43.9
Washington,71.5,61.9,66.3,50.0,65.6,58.1,66.8,53.3,67.6,50.7,62.0,48.9,62.3,49.2,70.3,46.3,64.6,51.1,69.5,54.9,68.0,43.9
West Virginia,56.1,44.1,50.8,33.6,47.8,41.0,53.4,36.9,57.2,36.9,52.4,36.0,50.6,34.2,58.5,35.6,53.8,40.2,60.5,48.1,59.9,42.0
Wisconsin,73.6,64.6,70.5,55.4,73.6,54.3,71.2,57.8,76.6,50.3,70.1,50.9,64.8,50.2,77.0,49.4,71.3,52.2,73.6,55.5,77.3,59.5
Wyoming,65.5,52.1,64.8,40.3,58.9,47.2,64.3,52.1,66.9,53.9,62.9,55.1,66.7,64.0,66.5,55.2,63.8,54.8,68.8,61.8,62.1,61.2
